Flow ID,System,Group,User,Flow name,Department,TOR Group,TOR,Remark,Team,ผู้ประสานงาน (ตรวจรับ),Phase,New Phase,Blocked,Blocked Date,Start Date,End Date,Lead Time,ประเมินสถานะ,Doing,Assignee,Requirement,Design: วันที่เริ่มทำ,Design: วันที่ Demo ผ่าน,Design: วันที่ลูกค้า Comfirm,Design,AC,API,FE/App,Testing,UAT,UAT Start Date,UAT Done Date,Blocked Issue,Service,Dependency Level,Parent flow ID,,🔢 Delivery Time,🔢 Card Info,🔢 Card Info (Design)
280.06,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.10,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- คำร้องขอกู้
- คำร้องขอรับสวัสดิการ
- คำร้องขอฝากเงิน
- คำร้องขอซื้อหุ้น
- คำร้องขอเปลี่ยนแปลงข้อมูล
- คำร้องขอลาออกจากการเป็นสมาชิก
- คำร้องเปลี่ยนแปลงการตั้งผู้รับโอนประโยน์",Mobile,,5,ยกเลิก,FALSE,,28 ก.ค. ,3 ส.ค. ,6,,,,Done,29 ก.ย. ,,,,,,,,,,,,,,,,155,"280.06 | Android

สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน","280.06 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน"
280.07,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.10,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- คำร้องขอกู้
- คำร้องขอรับสวัสดิการ
- คำร้องขอฝากเงิน
- คำร้องขอซื้อหุ้น
- คำร้องขอเปลี่ยนแปลงข้อมูล
- คำร้องขอลาออกจากการเป็นสมาชิก
- คำร้องเปลี่ยนแปลงการตั้งผู้รับโอนประโยน์",Mobile,,5,ยกเลิก,FALSE,,28 ก.ค. ,3 ส.ค. ,6,,,,Done,29 ก.ย. ,,,,,,,,,,,,,,,,155,"280.07 | iOS

สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน","280.07 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

สมาชิกสหกรณ์สามารถสร้างรายการคำร้องขอต่างๆได้ ดังนี้
- ข้อมูลการทำงาน"
281,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,4.1,,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,Change,,,,,,,,,,,,,149,"281 | Android

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้","281 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้"
281.01,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,4.1,FALSE,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,Change,,,,,,,,,,,,,149,"281.01 | iOS

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้","281.01 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้"
282,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดังนี้
- ข้อมูลส่วนตัว",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,4.1,,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,Change,,,,,,,,,,,,,149,"282 | Android

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั...","282 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั..."
282.01,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดังนี้
- ข้อมูลส่วนตัว",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,4.1,FALSE,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,Change,,,,,,,,,,,,,149,"282.01 | iOS

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั...","282.01 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั..."
283,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดังนี้
- ข้อมูลการทำงาน",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,ยกเลิก,,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,,,,,,,,,,,,,,149,"283 | Android

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั...","283 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั..."
283.01,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,"สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดังนี้
- ข้อมูลการทำงาน",ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.11,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- ประเภทคำขอ
- วันที่ขอ
- สถานะใบคำขอ
- ข้อมูลไฟล์ที่เกี่ยวข้อง",Mobile,,5,ยกเลิก,FALSE,,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,,,,,,,,,,,,,,,149,"283.01 | iOS

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั...","283.01 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

สมาชิกสหกรณ์สามารถดูรายการคำร้องขอได้ และแนบไฟล์ที่เกี่ยวข้องได้ โดยแสดงข้อมูลดั..."
284,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับหรือได้สร้างคำขอ,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.12,สอบถามข้อมูลเพิ่มเติมเรื่อง API,Mobile,,5,4.1,TRUE,12 ม.ค.,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,1 ธ.ค. ,Confirmed,Doing,,,,,,,รอ API,,,,,149,"284 | Android

 🚫 สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับห...","284 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

 🚫 สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับห..."
284.01,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับหรือได้สร้างคำขอ,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.12,สอบถามข้อมูลเพิ่มเติมเรื่อง API,Mobile,,5,4.1,TRUE,12 ม.ค.,4 ส.ค. ,10 ส.ค. ,6,,,,Done,29 ก.ย. ,,1 ธ.ค. ,Confirmed,Doing,,,,,,,รอ API,,,,,149,"284.01 | iOS

 🚫 สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับห...","284.01 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

 🚫 สมาชิกสหกรณ์สามารถดูข้อมูลรายการสวัสดิการและสถานะของสวัสดิการที่ผู้ใช้งานได้รับห..."
